,City,Temperature_max,Wind,Humidity,Latitude,Longitude,Cloudiness,Country
98,takoradi,27.2,2.73,87,4.8845,-1.7554,100,GH
99,barcelona,15.0,2.57,94,41.3888,2.159,20,ES
100,najran,20.0,3.09,83,17.4924,44.1277,40,SA
101,richards bay,18.48,2.8,93,-28.783,32.0377,99,ZA
102,ajdabiya,18.16,3.3,48,30.7554,20.2263,96,LY
103,busselton,18.89,0.45,84,-33.65,115.3333,27,AU
104,yellowknife,-12.0,7.2,48,62.456,-114.3525,20,CA
105,manzanillo,27.88,5.82,56,20.3433,-77.1167,47,CU
106,kambove,15.88,1.32,93,-10.8764,26.5969,100,CD
107,arraial do cabo,23.92,1.69,78,-22.9661,-42.0278,100,BR
108,plettenberg bay,15.35,1.2,91,-34.0527,23.3716,12,ZA
109,high level,-6.0,6.69,53,58.5169,-117.136,75,CA
110,zhigansk,-8.87,7.18,85,66.7697,123.3711,100,RU
111,port-gentil,27.88,3.06,79,-0.7193,8.7815,100,GA
112,vardo,0.61,7.4,61,70.3705,31.1107,97,NO
113,babushkin,0.36,6.69,92,51.7122,105.8647,100,RU
114,faanui,27.32,1.96,68,-16.4833,-151.75,100,PF
115,yulara,19.0,7.2,32,-25.2406,130.9889,0,AU
116,antofagasta,16.0,2.57,77,-23.65,-70.4,0,CL
117,marsh harbour,23.58,9.35,72,26.5412,-77.0636,0,BS
118,qaanaaq,2.99,3.21,70,77.484,-69.3632,100,GL
119,carnarvon,21.0,3.66,52,-24.8667,113.6333,0,AU
120,tasiilaq,5.0,3.38,60,65.6145,-37.6368,75,GL
121,chuy,12.32,3.41,80,-33.6971,-53.4616,0,UY
122,tarut,25.0,3.6,73,26.5733,50.0369,0,SA
123,santa maria,12.0,0.51,94,-29.6842,-53.8069,0,BR
124,saskylakh,-12.58,2.03,91,71.9167,114.0833,34,RU
125,nouadhibou,19.0,6.69,88,20.931,-17.0347,0,MR
126,kachhwa,24.0,1.54,50,25.2167,82.7167,40,IN
127,lasa,11.67,0.88,71,46.6166,10.7002,100,IT
128,pevek,-3.57,1.7,92,69.7008,170.3133,100,RU
129,riyadh,27.0,3.8,27,24.6877,46.7219,0,SA
130,saalfeld,-1.67,1.39,70,50.65,11.3667,1,DE
131,nikolskoye,5.0,3.0,75,59.7035,30.7861,75,RU
132,turukhansk,-1.08,4.94,77,65.8167,87.9833,2,RU
133,lanzhou,6.0,1.59,65,36.0564,103.7922,40,CN
134,port elizabeth,16.0,7.2,94,-33.918,25.5701,75,ZA
135,itarema,25.87,4.25,80,-2.9248,-39.9167,97,BR
136,korla,13.7,2.26,29,41.7597,86.1469,46,CN
137,benguela,25.58,2.17,78,-12.5763,13.4055,48,AO
138,preston,11.11,1.88,75,53.7667,-2.7167,100,GB
139,olafsvik,5.94,2.94,62,64.8945,-23.7142,0,IS
140,fort-shevchenko,12.81,9.48,87,44.5086,50.263,96,KZ
141,rawson,17.74,3.23,41,-43.3002,-65.1023,15,AR
142,tura,27.88,3.08,36,25.5198,90.2201,100,IN
143,mugur-aksy,-1.61,1.7,48,50.35,90.5,100,RU
144,lofos,13.33,0.91,91,40.2447,22.3797,100,GR
145,bengkulu,25.93,1.34,79,-3.8004,102.2655,61,ID
146,visnes,5.0,2.57,81,59.3556,5.2242,75,NO
147,rundu,15.19,1.89,41,-17.9333,19.7667,0,NA
148,kamenka,5.0,4.48,92,51.3223,42.7678,100,RU
149,camalu,15.56,4.02,42,30.85,-116.0667,100,MX
150,awjilah,19.82,2.34,32,29.1081,21.2869,1,LY
151,cascais,15.56,2.24,94,38.6979,-9.4215,100,PT
152,hambantota,26.0,1.54,100,6.1241,81.1185,20,LK
153,bredasdorp,13.0,0.51,94,-34.5322,20.0403,96,ZA
154,souillac,24.0,3.6,94,-20.5167,57.5167,75,MU
155,slave lake,2.0,3.6,69,55.2834,-114.769,75,CA
156,reconquista,13.81,2.21,79,-29.15,-59.65,0,AR
157,salinopolis,26.2,3.47,83,-0.6136,-47.3561,100,BR
158,hvide sande,-1.11,4.69,78,56.0045,8.1294,5,DK
